Epoch,Memory,trainBoxLoss,trainObjLoss,trainClsLoss,trainLoss,count,fixed,precision,recall,map05,map0595,valBoxLoss,valObjLoss,valClsLoss
130,9.14G,0.01314,0.005132,0.009766,0.02804,88,512,0.7066,0.7258,0.7251,0.692,0.01244,0.003215,0.01861
131,9.14G,0.01297,0.005079,0.009818,0.02787,111,512,0.712,0.7317,0.7306,0.6969,0.01243,0.003205,0.01855
132,9.14G,0.01284,0.005066,0.009766,0.02767,105,512,0.7121,0.7318,0.731,0.6971,0.01241,0.003196,0.01849
133,9.14G,0.01313,0.005114,0.00978,0.02803,93,512,0.7075,0.7272,0.7289,0.6953,0.01239,0.003187,0.01844
134,9.14G,0.01304,0.005086,0.009803,0.02793,103,512,0.7094,0.7283,0.7294,0.6957,0.01237,0.003179,0.0184
135,9.14G,0.01298,0.005032,0.009687,0.0277,90,512,0.7125,0.7337,0.7321,0.6982,0.01235,0.003176,0.01835
136,9.14G,0.01288,0.005009,0.009681,0.02757,67,512,0.7069,0.7283,0.73,0.6964,0.01234,0.003174,0.01831
137,9.14G,0.01277,0.005024,0.009547,0.02734,127,512,0.707,0.7287,0.7302,0.6966,0.01233,0.003169,0.01828
138,9.14G,0.01299,0.005015,0.009711,0.02772,122,512,0.7131,0.7351,0.7332,0.6992,0.01231,0.003147,0.01824
139,9.14G,0.01278,0.004971,0.009616,0.02736,113,512,0.7028,0.7338,0.7329,0.6989,0.01228,0.003135,0.01819
140,9.14G,0.01261,0.004905,0.009536,0.02705,59,512,0.7026,0.7338,0.7332,0.6992,0.01226,0.003128,0.01815
141,9.14G,0.01275,0.004951,0.009715,0.02741,126,512,0.6978,0.7326,0.7331,0.6991,0.01223,0.003116,0.01811
142,9.14G,0.01278,0.004929,0.009712,0.02742,125,512,0.6978,0.7328,0.7335,0.6994,0.01222,0.003109,0.01807
143,9.14G,0.01274,0.004939,0.009735,0.02741,101,512,0.6978,0.7335,0.7338,0.6996,0.01221,0.003099,0.01804
144,9.14G,0.01273,0.004902,0.009551,0.02718,121,512,0.6925,0.7287,0.7317,0.6977,0.01219,0.003088,0.018
145,9.14G,0.0126,0.004844,0.009463,0.02691,125,512,0.6926,0.7299,0.7322,0.6983,0.01217,0.003079,0.01796
146,9.14G,0.01259,0.004865,0.009449,0.02691,93,512,0.693,0.7305,0.7325,0.6984,0.01215,0.003069,0.01792
147,9.14G,0.01251,0.004817,0.009391,0.02671,90,512,0.6931,0.7308,0.7329,0.6986,0.01214,0.003064,0.01787
148,9.14G,0.01254,0.004835,0.009492,0.02687,107,512,0.6985,0.7332,0.7334,0.6992,0.01212,0.003052,0.01782
149,9.14G,0.0125,0.004823,0.009465,0.02679,101,512,0.699,0.7339,0.7346,0.7002,0.01211,0.003044,0.01778
150,9.14G,0.01252,0.004778,0.009264,0.02656,108,512,0.6996,0.7345,0.7356,0.7009,0.01209,0.003033,0.01774
151,9.14G,0.0125,0.004833,0.009408,0.02674,85,512,0.7004,0.7356,0.7359,0.7014,0.01208,0.003017,0.01769
152,9.14G,0.01237,0.004842,0.009315,0.02653,114,512,0.7007,0.7364,0.7363,0.7019,0.01206,0.003007,0.01765
153,9.14G,0.01237,0.004801,0.009275,0.02645,103,512,0.7007,0.7369,0.7368,0.7023,0.01204,0.002998,0.0176
154,9.14G,0.01246,0.004881,0.009336,0.02667,114,512,0.7012,0.7376,0.737,0.7026,0.01202,0.002988,0.01756
155,9.14G,0.01241,0.004828,0.0094,0.02664,81,512,0.701,0.7378,0.7373,0.7029,0.01201,0.002986,0.01751
156,9.14G,0.01243,0.004862,0.009324,0.02662,74,512,0.6959,0.7358,0.7363,0.7017,0.01199,0.002978,0.01746
157,9.14G,0.01218,0.004743,0.009248,0.02617,85,512,0.6967,0.7366,0.7372,0.703,0.01197,0.002971,0.01741
158,9.14G,0.01232,0.004771,0.009171,0.02627,121,512,0.6971,0.7375,0.7371,0.7029,0.01195,0.002963,0.01737
159,9.14G,0.01229,0.00477,0.009272,0.02633,110,512,0.697,0.7378,0.7375,0.7027,0.01194,0.002955,0.01732
160,9.14G,0.01222,0.00476,0.009229,0.02621,131,512,0.6967,0.7381,0.738,0.703,0.01192,0.002944,0.01727
